"ACC CODE","ACC NAME","GROUP","CODE","APR","MAY","JUN","JUL","AUG","SEPT","OCT","NOV","DEC","JAN","FEB","MAR","FY 2022 1st","FY 2022 2nd","FY 2022 TOTAL"
"4111000101","Sales (97%)","Body","SAL0010","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  600 ","  600 ","  1,200 "
"4111000101","Material Impact","Body","SAL0011","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  600 ","  600 ","  1,200 "
"4111000101","Exchange Rate","Body","SAL0012","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  600 ","  600 ","  1,200 "
"4111000101","ECI/VA","Body","SAL0013","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  600 ","  600 ","  1,200 "
"4111000101","Kadai","Body","SAL0014","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  600 ","  600 ","  1,200 "
"4111000101","Kadai Avoidance","Body","SAL0015","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  100 ","  600 ","  600 ","  1,200 "
"4111000101","Tooling","Body","SAL0016","","","","  50 ","","","","","","","","","  50 ","  - ","  50 "
"4111000101","Sales (97%)","Unit","SAL0020","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  1,200 ","  1,200 ","  2,400 "
"4111000101","Material Impact","Unit","SAL0021","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  1,200 ","  1,200 ","  2,400 "
"4111000101","Exchange Rate","Unit","SAL0022","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  1,200 ","  1,200 ","  2,400 "
"4111000101","ECI/VA","Unit","SAL0023","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  1,200 ","  1,200 ","  2,400 "
"4111000101","Kadai","Unit","SAL0024","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  1,200 ","  1,200 ","  2,400 "
"4111000101","Kadai Avoidance","Unit","SAL0025","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  200 ","  1,200 ","  1,200 ","  2,400 "
"4111000101","Tooling","Unit","SAL0026","","","","","","","  700 ","","","","","","  - ","  700 ","  700 "
"4111000101","Sales (97%)","Electric","SAL0030","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  300 ","  300 ","  600 "
"4111000101","Material Impact","Electric","SAL0031","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  300 ","  300 ","  600 "
"4111000101","Exchange Rate","Electric","SAL0032","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  300 ","  300 ","  600 "
"4111000101","ECI/VA","Electric","SAL0033","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  300 ","  300 ","  600 "
"4111000101","Kadai","Electric","SAL0034","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  300 ","  300 ","  600 "
"4111000101","Kadai Avoidance","Electric","SAL0035","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  50 ","  300 ","  300 ","  600 "
"4111000101","Tooling","Electric","SAL0036","","","","","","","","","","","  100 ","","  - ","  100 ","  100 "
